#{"t_start": 1781470717.4055707, "env_id": "None"}
r,l,t,laps_completed,last_lap_time,progress_distance,distance_raced,mean_throttle,mean_brake,mean_speed,max_speed,termination_reason
-139.89706,500,1.592731,0,nan,34.8495,34.8495,0.24799962544441223,0.23643468058109282,12.264025457400004,18.4454,off_track
-123.37361,863,4.687774,0,nan,66.4146,66.4146,0.2729274464095592,0.23688056474488967,13.494296061181924,25.4104,off_track
-184.30219,1834,16.618524,0,nan,150.073,150.073,0.2628818400033558,0.26246820089601247,14.021931108505996,20.4932,off_track
-168.11871,674,21.344088,0,nan,49.6047,49.6047,0.2721394321685021,0.21357726750105,12.968399832195828,20.8318,off_track
-159.52112,2008,34.032739,0,nan,159.984,159.984,0.2363769844827424,0.2584535329346638,13.708623275149389,18.9875,off_track
-115.13121,150,35.482343,0,nan,3.56055,3.56055,0.2121752119064331,0.27790661215782164,4.279181954,13.3302,low_progress
-199.52371,4000,60.626716,0,nan,323.348,323.348,0.27159126710891723,0.26203992262482645,13.908141210599966,23.2547,max_steps
-122.63284,947,67.14099,0,nan,139.667,139.667,0.34660408665537207,0.20180859189350728,25.628195030728616,71.4731,off_track
-112.603325,150,68.570181,0,nan,4.73755,4.73755,0.23596023400624594,0.2138533325990041,5.692415972,15.5607,low_progress
-57.64063,1042,76.053346,0,nan,228.741,228.741,0.19479641884622556,0.0400042663723402,38.244207043570064,89.0849,off_track
-57.64063,1042,77.452408,0,nan,228.741,228.741,0.19479641884622556,0.0400042663723402,38.244207043570064,89.0849,off_track
-57.64063,1042,78.824635,0,nan,228.741,228.741,0.19479641884622556,0.0400042663723402,38.244207043570064,89.0849,off_track
