#{"t_start": 1781475183.4437926, "env_id": "None"}
r,l,t,laps_completed,last_lap_time,progress_distance,distance_raced,mean_throttle,mean_brake,mean_speed,max_speed,termination_reason
-204.42331,20,5.188975,0,nan,0.0,0.0,0.30537394881248475,0.21910752058029176,-0.009130450000000003,0.0,low_progress
-204.43077,20,6.038505,0,nan,0.0,0.0,0.19161566495895385,0.25020447075366975,-0.009130450000000003,0.0,low_progress
-204.48817,20,6.726447,0,nan,0.0,0.0,0.2860527276992798,0.1931439071893692,-0.009130450000000003,0.0,low_progress
-204.37201,20,7.486136,0,nan,0.0,0.0,0.18055188655853271,0.2231675773859024,-0.009130450000000003,0.0,low_progress
-204.39786,20,8.201772,0,nan,0.0,0.0,0.36300296187400816,0.2643335789442062,-0.009130450000000003,0.0,low_progress
-204.56876,20,8.785692,0,nan,0.0,0.0,0.2900836944580078,0.19823746979236603,-0.009130450000000003,0.0,low_progress
-204.46,20,9.426956,0,nan,0.0,0.0,0.21747301816940307,0.2755991697311401,-0.009130450000000003,0.0,low_progress
-204.3291,20,10.177774,0,nan,0.0,0.0,0.16355497241020203,0.31774738132953645,-0.009130450000000003,0.0,low_progress
-204.32016,20,10.741029,0,nan,0.0,0.0,0.2699076235294342,0.15088055431842803,-0.009130450000000003,0.0,low_progress
-204.57701,20,11.397274,0,nan,0.0,0.0,0.270987993478775,0.2410004436969757,-0.009130450000000003,0.0,low_progress
-204.52283,20,12.01807,0,nan,0.0,0.0,0.4564693808555603,0.1858980804681778,-0.009130450000000003,0.0,low_progress
-204.50237,20,12.653839,0,nan,0.0,0.0,0.17180219888687134,0.2565272063016891,-0.009130450000000003,0.0,low_progress
-204.31963,20,13.299353,0,nan,0.0,0.0,0.23407641649246216,0.19356608390808105,-0.009130450000000003,0.0,low_progress
-204.48804,20,13.867839,0,nan,0.0,0.0,0.22322988510131836,0.2249961882829666,-0.009130450000000003,0.0,low_progress
-204.49944,20,14.458945,0,nan,0.0,0.0,0.15671891570091248,0.1869172602891922,-0.009130450000000003,0.0,low_progress
-204.434,20,15.059193,0,nan,0.0,0.0,0.28399253487586973,0.21253142952919007,-0.009130450000000003,0.0,low_progress
-204.52109,20,15.737144,0,nan,0.0,0.0,0.24479541778564454,0.22068664133548738,-0.009130450000000003,0.0,low_progress
-204.39015,20,16.372523,0,nan,0.0,0.0,0.2769478321075439,0.17908993661403655,-0.009130450000000003,0.0,low_progress
-204.37949,20,16.973701,0,nan,0.0,0.0,0.14456403851509095,0.32807630896568296,-0.009130450000000003,0.0,low_progress
-204.50133,20,17.576462,0,nan,0.0,0.0,0.20787009596824646,0.33240177035331725,-0.009130450000000003,0.0,low_progress
-204.55055,20,18.289982,0,nan,0.0,0.0,0.21580345630645753,0.25733116567134856,-0.009130450000000003,0.0,low_progress
-204.55984,20,19.06187,0,nan,0.0,0.0,0.36094852089881896,0.1498881012201309,-0.009130450000000003,0.0,low_progress
-204.49068,20,19.797348,0,nan,0.0,0.0,0.2663979470729828,0.24388417601585388,-0.009130450000000003,0.0,low_progress
-204.40872,20,20.679267,0,nan,0.0,0.0,0.23684480786323547,0.2539817839860916,-0.009130450000000003,0.0,low_progress
-204.36334,20,21.525252,0,nan,0.0,0.0,0.18092469573020936,0.35166880786418914,-0.009130450000000003,0.0,low_progress
-204.35803,20,22.24619,0,nan,0.0,0.0,0.19507370591163636,0.19834400713443756,-0.009130450000000003,0.0,low_progress
-204.51605,20,23.33386,0,nan,0.0,0.0,0.24279384016990663,0.19100204408168792,-0.009130450000000003,0.0,low_progress
-204.58684,20,24.052111,0,nan,0.0,0.0,0.3446449041366577,0.17968331277370453,-0.009130450000000003,0.0,low_progress
-204.50131,20,25.116312,0,nan,0.0,0.0,0.3103764832019806,0.24255871176719665,-0.009130450000000003,0.0,low_progress
-204.46674,20,26.061098,0,nan,0.0,0.0,0.3125823259353638,0.22825388610363007,-0.009130450000000003,0.0,low_progress
-204.48798,20,26.803067,0,nan,0.0,0.0,0.1475919783115387,0.26898054480552674,-0.009130450000000003,0.0,low_progress
-204.46268,20,27.513128,0,nan,0.0,0.0,0.3125658631324768,0.23466934859752656,-0.009130450000000003,0.0,low_progress
-204.42036,20,28.336356,0,nan,0.0,0.0,0.2853725731372833,0.2219026893377304,-0.009130450000000003,0.0,low_progress
-204.5201,20,28.965058,0,nan,0.0,0.0,0.24661057591438293,0.2059381991624832,-0.009130450000000003,0.0,low_progress
-204.35297,20,29.569162,0,nan,0.0,0.0,0.2396713078022003,0.4053651839494705,-0.009130450000000003,0.0,low_progress
-204.48341,20,30.759679,0,nan,0.0,0.0,0.3019117176532745,0.23040763437747955,-0.009130450000000003,0.0,low_progress
-204.42953,20,31.435834,0,nan,0.0,0.0,0.13887584805488587,0.28972055613994596,-0.009130450000000003,0.0,low_progress
-204.44913,20,32.13709,0,nan,0.0,0.0,0.24503719806671143,0.21561784148216248,-0.009130450000000003,0.0,low_progress
-204.3769,20,32.7998,0,nan,0.0,0.0,0.16250641345977784,0.21283455193042755,-0.009130450000000003,0.0,low_progress
-204.45244,20,33.482891,0,nan,0.0,0.0,0.232479065656662,0.26505389511585237,-0.009130450000000003,0.0,low_progress
-204.5583,20,34.165589,0,nan,0.0,0.0,0.2132801294326782,0.26568161249160765,-0.009130450000000003,0.0,low_progress
-204.44493,20,34.917892,0,nan,0.0,0.0,0.23880085945129395,0.2883372724056244,-0.009130450000000003,0.0,low_progress
-204.47006,20,35.560082,0,nan,0.0,0.0,0.3714337766170502,0.09994953572750091,-0.009130450000000003,0.0,low_progress
-204.46184,20,36.618787,0,nan,0.0,0.0,0.2864255428314209,0.2421964228153229,-0.009130450000000003,0.0,low_progress
-204.38864,20,37.559715,0,nan,0.0,0.0,0.21414271593093873,0.3056661456823349,-0.009130450000000003,0.0,low_progress
-204.44301,20,38.369663,0,nan,0.0,0.0,0.14628559947013856,0.20690902471542358,-0.009130450000000003,0.0,low_progress
