#{"t_start": 1781472500.3789096, "env_id": "None"}
r,l,t,laps_completed,last_lap_time,progress_distance,distance_raced,mean_throttle,mean_brake,mean_speed,max_speed,termination_reason
-440.4135,500,1.642613,0,nan,34.8495,34.8495,0.24799962544441223,0.23643468058109282,12.264025457400004,18.4454,off_track
-418.96426,810,4.689491,0,nan,60.8517,60.8517,0.2736592216256224,0.23695067513136217,13.276091235555551,18.4209,off_track
-511.70978,1422,15.812359,0,nan,108.562,108.562,0.2777862655294931,0.2712379036321922,13.203666276652601,21.9299,off_track
-457.984,1530,26.965016,0,nan,120.506,120.506,0.2353961654737884,0.29862952734909803,13.328402838169932,22.001,off_track
-403.54395,150,28.545241,0,nan,4.50732,4.50732,0.2216932980219523,0.2636515847841899,5.4365649246666665,16.4009,low_progress
-405.26343,150,30.096114,0,nan,2.08447,2.08447,0.19331933975219726,0.33462480386098226,2.5046693013333328,8.71671,low_progress
-403.67523,150,31.673423,0,nan,2.99438,2.99438,0.22232045809427897,0.3521635353565216,3.5993304653333347,12.2894,low_progress
-405.6791,150,33.267801,0,nan,0.799072,0.799072,0.08987658103307088,0.4298063830534617,0.9547110469333332,2.56606,low_progress
-405.8396,150,34.798678,0,nan,2.31934,2.31934,0.1330043379465739,0.4727262032032013,2.805140531266667,9.93865,low_progress
-406.0513,150,36.411356,0,nan,0.057373,0.057373,0.05694465001424154,0.6000111162662506,0.06421637693999999,0.559715,low_progress
-406.26447,150,37.96383,0,nan,0.00561523,0.00561523,0.024831814765930174,0.7267240611712138,0.004374284799999996,0.5212,low_progress
-420.60345,598,42.564036,0,nan,64.72,64.72,0.27014232140321,0.4620637781045907,18.378777174749175,49.0761,off_track
-424.933,612,47.116633,0,nan,59.1241,59.1241,0.39256034918080746,0.31688041556504815,16.535564624673206,35.4481,off_track
-413.6813,818,53.264136,0,nan,75.5366,75.5366,0.3186568591588867,0.28312121954698727,16.023310432151582,43.5449,off_track
-416.68698,697,58.696971,0,nan,37.9365,37.9365,0.14595602779853634,0.5166848454105973,9.315792565853661,21.6037,low_progress
-409.67963,727,64.200277,0,nan,68.3417,68.3417,0.30936121924215365,0.19996498506695565,16.305987117193933,36.1157,off_track
-424.69662,715,69.576481,0,nan,56.5383,56.5383,0.23725749045818836,0.16342842862322615,13.859640273146848,31.0844,off_track
-435.4819,743,75.134436,0,nan,53.8177,53.8177,0.18270877793852444,0.16069899930607423,12.691411044414533,28.0777,off_track
-391.78598,591,79.669177,0,nan,69.1982,69.1982,0.35723669799249586,0.1964789404078385,19.896230034856167,55.7998,off_track
-376.60895,467,83.430394,0,nan,45.3813,45.3813,0.2657096761197043,0.5388166818935305,16.275904613918623,61.3195,low_progress
-369.65723,309,86.076058,0,nan,62.2559,62.2559,0.5780355621695904,0.08767046280277585,34.0768676291262,75.6583,off_track
-379.0505,335,88.862335,0,nan,57.2784,57.2784,0.4962529239369862,0.09293215452735104,29.002598382388083,62.4752,off_track
-367.0102,300,91.423806,0,nan,61.374,61.374,0.5200633092721303,0.07698015987873078,34.54660006066668,76.9533,off_track
-402.16727,150,92.958442,0,nan,4.90601,4.90601,0.3622235536575317,0.05487219254175822,5.899847250666666,18.261,low_progress
-401.92944,150,94.511818,0,nan,4.98804,4.98804,0.25084123770395916,0.049593082666397094,5.999565322306669,18.1583,low_progress
-398.92728,513,98.526618,0,nan,61.5362,61.5362,0.34512372602496233,0.2028902583187319,20.346772255945424,57.705,off_track
-424.63052,775,104.31714,0,nan,62.6336,62.6336,0.2955131323106827,0.23805842822597872,14.165417183096755,28.3654,off_track
-405.66983,150,105.860344,0,nan,2.14185,2.14185,0.1231966217358907,0.2686768953005473,2.5659134419999994,5.01229,low_progress
-405.863,150,107.367866,0,nan,1.71338,1.71338,0.0771271816889445,0.24964075565338134,2.0561961353333333,4.31109,low_progress
-405.67737,150,108.899075,0,nan,2.34814,2.34814,0.23873889605204265,0.2790068078041077,2.815390181333333,5.54223,low_progress
-406.38416,150,110.413105,0,nan,1.54224,1.54224,0.14496774991353353,0.2723391874631246,1.8524637873333327,3.66294,low_progress
-405.52716,150,111.927643,0,nan,3.08765,3.08765,0.2619647574424744,0.2501426641146342,3.7127874339999996,7.19702,low_progress
-404.40366,150,113.432081,0,nan,3.04395,3.04395,0.1531794039408366,0.3384351929028829,3.648148908666667,7.4063,low_progress
-406.07922,150,114.91256,0,nan,1.65088,1.65088,0.13046608448028565,0.3000690603256226,1.9829880866000007,4.0683,low_progress
-402.49866,150,116.404613,0,nan,4.46631,4.46631,0.21764121214548746,0.1545520559946696,5.368707766666668,16.3726,low_progress
-411.2584,613,120.937884,0,nan,57.0107,57.0107,0.31524399618145693,0.3026987377426558,16.15538711941273,40.4901,off_track
-414.53693,944,127.490195,0,nan,101.102,101.102,0.3057324959565017,0.2745051123201847,18.459198327383465,41.1663,off_track
-377.88687,565,131.520602,0,nan,56.866,56.866,0.26372442055592493,0.4904286979574018,16.88423269099115,55.9975,low_progress
-359.1124,549,135.477291,0,nan,60.321,60.321,0.27736651832288733,0.4867913258314567,18.445561810473585,57.5525,low_progress
-393.4504,427,138.678599,0,nan,63.839,63.839,0.34628743980193305,0.25086030008083765,25.27756405690867,54.7664,off_track
-397.31836,433,141.929482,0,nan,61.6694,61.6694,0.40603997030104005,0.25152981308811534,24.170545737413377,54.2395,off_track
-399.24588,466,145.368369,0,nan,64.0108,64.0108,0.3796695514298304,0.2931308348547236,23.3014968675966,52.1121,off_track
-396.38474,435,148.638649,0,nan,63.0371,63.0371,0.342555738043511,0.3232633927772785,24.52844695333333,55.4252,off_track
-418.0385,568,153.650465,0,nan,62.9094,62.9094,0.2162267353752969,0.48340980414773377,18.895022167077425,45.7017,off_track
-418.0385,568,154.637226,0,nan,62.9094,62.9094,0.2162267353752969,0.48340980414773377,18.895022167077425,45.7017,off_track
-418.0385,568,155.623777,0,nan,62.9094,62.9094,0.2162267353752969,0.48340980414773377,18.895022167077425,45.7017,off_track
-418.0385,568,156.615301,0,nan,62.9094,62.9094,0.2162267353752969,0.48340980414773377,18.895022167077425,45.7017,off_track
