#{"t_start": 1781470312.614462, "env_id": "None"}
r,l,t,laps_completed,last_lap_time,progress_distance,distance_raced,mean_throttle,mean_brake,mean_speed,max_speed,termination_reason
-412.1218,150,2.444973,0,nan,5.3479,5.3479,0.25584935188293456,0.24352570017178854,6.450268858000001,15.9541,low_progress
-411.30637,150,3.074184,0,nan,5.80933,5.80933,0.2482708199818929,0.20731788555781047,6.984222424666667,15.9128,low_progress
-412.25345,150,3.70999,0,nan,4.46313,4.46313,0.24658003330230713,0.24030781348546346,5.3619775673333345,16.2855,low_progress
-411.55957,150,4.344658,0,nan,5.14063,5.14063,0.26336138089497885,0.2356097976366679,6.186202832666666,16.479,low_progress
-411.23434,150,4.985324,0,nan,5.64868,5.64868,0.23682001272837322,0.2637286444505056,6.787950167333335,16.2239,low_progress
-411.602,150,5.616487,0,nan,4.89282,4.89282,0.24807406266530355,0.23658088008562725,5.877931011666669,15.5769,low_progress
-411.0999,150,6.583004,0,nan,5.51465,5.51465,0.26747301340103147,0.2544053868452708,6.621994513333336,18.2573,low_progress
-413.47067,150,8.018508,0,nan,3.55615,3.55615,0.1559258039792379,0.40212955395380656,4.296266208000001,12.2236,low_progress
-415.47668,150,9.471895,0,nan,1.66211,1.66211,0.1130767830212911,0.48933090567588805,2.0047148293333343,8.29434,low_progress
-417.51068,150,10.920031,0,nan,2.59155,2.59155,0.1669476103782654,0.5141566220919291,3.165706857333334,6.29203,low_progress
-413.28424,150,12.362598,0,nan,3.49658,3.49658,0.16955317179361978,0.5846790059407552,4.196458029999998,8.70957,low_progress
-408.12338,150,13.796854,0,nan,7.98267,7.98267,0.5652779531478882,0.24107367793718973,9.572581135333337,25.0059,low_progress
-409.53763,150,15.211268,0,nan,6.43091,6.43091,0.4587327321370443,0.3049131373564402,7.7122445059999984,16.3719,low_progress
-410.7273,150,16.661859,0,nan,5.40625,5.40625,0.30545938889185587,0.43936287879943847,6.485540622,13.0624,low_progress
-415.38367,150,18.109713,0,nan,0.335693,0.335693,0.07082282940546672,0.5894954709211985,0.40281756473333324,1.87583,low_progress
-412.00986,150,19.554248,0,nan,4.21069,4.21069,0.18523828188578287,0.5178900547822316,5.055893772066665,14.1633,low_progress
-412.39267,150,21.006738,0,nan,3.86499,3.86499,0.15913811206817627,0.5359914131959279,4.6360533146666665,9.11284,low_progress
-414.01392,150,22.454963,0,nan,2.18896,2.18896,0.12286568641662597,0.4340796717007955,2.637158118,10.1074,low_progress
-414.41296,150,23.905295,0,nan,2.17017,2.17017,0.11232006390889486,0.5421208616097768,2.5981985686666658,4.93718,low_progress
-415.9422,150,25.350422,0,nan,0.00219727,0.00219727,0.017696770826975506,0.5143815529346466,-0.0008895930820000167,0.304802,low_progress
-415.74896,150,26.759107,0,nan,0.334229,0.334229,0.04172803640365601,0.37791488965352377,0.40041081760000014,2.15771,low_progress
-415.9593,150,28.210031,0,nan,0.403564,0.403564,0.07229158719380696,0.4116847109794617,0.484330124,2.42193,low_progress
-415.8106,150,29.653694,0,nan,0.00561523,0.00561523,0.02588795026143392,0.37622540871302285,0.0032294785133333294,0.275654,low_progress
-415.91196,150,31.092861,0,nan,0.27124,0.27124,0.0238264799118042,0.37259933749834695,0.3237449712000001,0.978316,low_progress
-415.84122,150,32.553374,0,nan,0.431152,0.431152,0.034504985014597575,0.43576613664627073,0.5174872495066668,2.03323,low_progress
-415.9866,150,34.008223,0,nan,0.137207,0.137207,0.022045594851175944,0.42100624402364095,0.16132456399999998,0.680583,low_progress
-415.79636,150,35.477428,0,nan,0.0,-0.0129395,0.005514492988586426,0.47745595415433245,-0.017842012093333342,0.30242,low_progress
-415.90912,150,36.922318,0,nan,0.155273,0.155273,0.023853625456492108,0.44176393111546836,0.18792177380000002,1.54928,low_progress
-415.66785,150,38.385613,0,nan,0.163574,0.163574,0.015144464174906412,0.5212074903647105,0.19451089500000004,1.02154,low_progress
-416.03748,150,39.835887,0,nan,0.245361,0.245361,0.04089640061060588,0.5035240201155344,0.2910366926666666,1.1618,low_progress
-415.90405,150,41.294733,0,nan,0.0649414,0.0649414,0.009580434163411458,0.43310735940933226,0.07438573873333333,0.561581,low_progress
-415.82852,150,42.745378,0,nan,0.11499,0.11499,0.011965258916219076,0.42309149980545047,0.1383445952133333,0.687063,low_progress
-415.96194,150,44.20393,0,nan,0.00463867,0.00463867,0.006681552728017171,0.2725302298863729,0.0017384513933333305,0.25441,low_progress
-415.82233,150,45.65924,0,nan,0.0,-0.0200195,0.002427182197570801,0.20541863203048705,-0.02842951542666666,0.216699,low_progress
-415.96695,150,47.105812,0,nan,0.0,-0.0239258,0.001704095999399821,0.3272754379113515,-0.033050349599999994,0.162286,low_progress
-415.94592,150,48.55187,0,nan,0.0,-0.0227051,0.0023743009567260744,0.2110464032491048,-0.03136349971333334,0.0435101,low_progress
-415.82135,150,49.980715,0,nan,0.0090332,0.0090332,0.007257436116536458,0.1987159283955892,0.009361968139999994,0.334336,low_progress
-415.86548,150,51.429539,0,nan,0.327881,0.327881,0.030419116020202638,0.3596831695238749,0.3928051415333334,2.23554,low_progress
-414.5439,150,52.889585,0,nan,2.08228,2.08228,0.0916279649734497,0.5893919622898102,2.4930381620000013,5.04724,low_progress
-414.1914,150,54.339546,0,nan,2.42627,2.42627,0.2251114296913147,0.5916432456175487,2.9071050453333336,5.48628,low_progress
-412.20483,150,55.794266,0,nan,4.24805,4.24805,0.2157443610827128,0.538652377128601,5.093254332666665,10.1264,low_progress
