#{"t_start": 1781472324.0059648, "env_id": "None"}
r,l,t,laps_completed,last_lap_time,progress_distance,distance_raced,mean_throttle,mean_brake,mean_speed,max_speed,termination_reason
-45.829967,500,1.633655,0,nan,34.8495,34.8495,0.24799962544441223,0.23643468058109282,12.264025457400004,18.4454,off_track
-14.557339,875,4.936013,0,nan,67.8431,67.8431,0.2716620366232736,0.2359538256100246,13.56623840091428,25.3807,off_track
-50.497757,150,6.413522,0,nan,4.70825,4.70825,0.26054059584935507,0.2543928575515747,5.654462635333333,15.5825,low_progress
71.51706,4000,33.136644,0,nan,290.029,290.029,0.25023078635334967,0.272742120757699,12.569615302070009,24.4456,max_steps
-50.90512,150,34.774881,0,nan,4.38818,4.38818,0.22319555521011353,0.37173375209172566,5.263637756000001,16.0571,low_progress
-52.37285,150,36.54337,0,nan,2.92676,2.92676,0.19562790075937908,0.3999458618958791,3.5244678279999992,12.7316,low_progress
-51.270115,150,38.069267,0,nan,3.99292,3.99292,0.17101353247960407,0.37685093919436136,4.798530732666664,13.5653,low_progress
-50.637177,150,39.576975,0,nan,4.62573,4.62573,0.1846694787343343,0.4449960899353027,5.554264815333333,15.6531,low_progress
-52.50815,150,41.027139,0,nan,2.83301,2.83301,0.16344090223312377,0.33826313336690267,3.410498468266667,12.734,low_progress
-53.645905,150,43.488836,0,nan,1.75708,1.75708,0.15641236066818237,0.37624191522598266,2.1190869193333346,10.6659,low_progress
-51.923325,150,45.783818,0,nan,3.44775,3.44775,0.18129136164983115,0.3988216805458069,4.146802980666668,15.8616,low_progress
-50.816242,150,47.815727,0,nan,4.54614,4.54614,0.18064229249954222,0.3957332686583201,5.452306856666668,16.5372,low_progress
-50.435352,150,50.059628,0,nan,4.82471,4.82471,0.18364057461420694,0.39998725851376854,5.7877852779999985,18.5337,low_progress
-51.963463,150,51.979654,0,nan,3.41943,3.41943,0.17878402868906657,0.44583152135213217,4.124945581333332,15.5618,low_progress
-51.896812,150,53.816964,0,nan,3.43091,3.43091,0.16803953488667805,0.4247365204493205,4.121126880000001,12.0549,low_progress
-52.32003,150,55.539459,0,nan,3.04321,3.04321,0.12656536022822062,0.4518054095904032,3.6532605226666663,9.5831,low_progress
-52.886814,150,57.200663,0,nan,2.31567,2.31567,0.1267020050684611,0.424769454797109,2.7872912829333325,10.6597,low_progress
-50.50403,150,58.872444,0,nan,4.7312,4.7312,0.19241430123647055,0.45273728330930074,5.682238633333333,15.5964,low_progress
-3.6343727,1969,76.064955,0,nan,148.623,148.623,0.2535506176306791,0.2644040329072486,13.163918762315921,39.194,off_track
-32.11693,655,82.482115,0,nan,45.1682,45.1682,0.24884016805022727,0.2446185303098373,12.207629269007638,30.5869,off_track
-11.576897,805,88.729473,0,nan,69.7287,69.7287,0.2764245439020003,0.1384403839614821,15.347768309813652,42.2661,off_track
-24.075623,559,93.174245,0,nan,50.1216,50.1216,0.3240132304125054,0.10904455931327424,15.6877399724508,43.8509,off_track
2.5620193,742,98.641941,0,nan,80.8145,80.8145,0.3206629528189605,0.1685860057404099,19.08683954204854,47.9079,off_track
-14.927181,546,103.333962,0,nan,57.176,57.176,0.3544130877697424,0.09779855008527036,18.23522916465203,46.7102,off_track
-16.821617,356,106.854301,0,nan,53.8942,53.8942,0.5813049858205774,0.024508859334367045,25.291153489606746,75.3856,off_track
-12.430477,1416,116.905567,0,nan,102.27,102.27,0.19020200415519672,0.33858052872668554,12.404440239505623,51.5016,low_progress
-51.239265,150,118.42787,0,nan,4.06616,4.06616,0.24743448257446288,0.10351963559786478,4.8814471326666675,13.1588,low_progress
-32.399635,698,123.537613,0,nan,40.1384,40.1384,0.09740975917581159,0.233497471642016,9.762042258022921,19.13,low_progress
-54.94327,150,125.177771,0,nan,0.468506,0.468506,0.11112663745880128,0.262725416024526,0.5575546753333332,1.31091,low_progress
-55.244293,150,126.797475,0,nan,0.0,-0.0305176,0.0,0.40489433248837786,-0.04194597466666668,0.0,low_progress
-54.935745,150,128.408926,0,nan,0.383301,0.383301,0.0195850666364034,0.22365524967511494,0.4566539166666667,1.5184,low_progress
-55.153362,150,129.953117,0,nan,0.200439,0.200439,0.04237199624379476,0.24386098583539326,0.23540763546666668,0.799974,low_progress
-55.191376,150,131.576452,0,nan,0.19873,0.19873,0.026196458339691163,0.2567981723944346,0.2356324621266665,0.986821,low_progress
-53.84514,150,133.305259,0,nan,1.47168,1.47168,0.08144034385681152,0.12164836764335632,1.7663616076666662,6.06167,low_progress
-54.424488,150,134.860692,0,nan,0.960205,0.960205,0.1320680022239685,0.1156061848004659,1.161690342,7.06168,low_progress
-33.81182,1026,142.501683,0,nan,75.0613,75.0613,0.1553234316219828,0.39497097646980955,12.693081005750484,28.6795,low_progress
7.025585,1294,151.713834,0,nan,139.34,139.34,0.3135240561626794,0.1796342232588454,18.477653937349295,47.2781,off_track
35.74695,1063,159.591933,0,nan,137.98,137.98,0.25471023243772234,0.11629386399000854,22.185820501787386,56.714,off_track
-28.527868,814,161.723025,0,nan,74.3233,74.3233,0.18141966779929122,0.29797855458915673,15.573815581326796,55.2597,low_progress
-28.527868,814,162.989066,0,nan,74.3233,74.3233,0.18141966779929122,0.29797855458915673,15.573815581326796,55.2597,low_progress
-28.527868,814,164.258622,0,nan,74.3233,74.3233,0.18141966779929122,0.29797855458915673,15.573815581326796,55.2597,low_progress
-28.527868,814,165.527679,0,nan,74.3233,74.3233,0.18141966779929122,0.29797855458915673,15.573815581326796,55.2597,low_progress
