#{"t_start": 1781560017.3771656, "env_id": "None"}
r,l,t,laps_completed,last_lap_time,progress_distance,distance_raced,mean_throttle,mean_brake,mean_speed,max_speed,termination_reason
-151.34958,443,1.82838,0,nan,29.0397,29.0397,0.2494808424676245,0.22920305303741523,11.607506274492103,28.3037,off_track
-127.814354,200,2.575729,0,nan,0.0,9.27173,0.2596211951971054,0.23866443067789078,8.014054876250004,19.6,low_progress
-132.38864,200,3.318226,0,nan,0.0,8.92798,0.22800034105777742,0.2639107033610344,7.70588157075,15.8475,low_progress
-124.63588,200,4.306792,0,nan,2.272120000000001,11.2001,0.3515150845050812,0.20686729580163957,9.722544735249997,39.7675,low_progress
-142.86583,316,6.722297,0,nan,21.0167,32.2168,0.3192381164695643,0.09988515588301647,18.11882039034809,38.2039,off_track
-115.71251,200,8.488473,0,nan,0.0,13.2474,0.3219087737798691,0.02593006581068039,11.825099667049999,24.9042,low_progress
-128.05058,200,10.248744,0,nan,0.0,7.19971,0.18684683442115785,0.24857988059520722,6.4516548917500005,18.5648,low_progress
-119.968185,200,12.056261,0,nan,1.54467,8.74438,0.25756236851215364,0.41658919394016264,8.01483994275,24.2725,low_progress
-124.479126,200,13.898835,0,nan,0.31128,9.05566,0.3201630961894989,0.24546733856201172,9.272939014250001,27.3982,low_progress
-124.883965,200,15.766818,0,nan,1.6778399999999998,10.7335,0.39466026484966277,0.21401410430669784,11.078371228749997,33.4819,low_progress
-124.36154,199,17.647159,0,nan,4.456000000000001,15.1895,0.403177057678376,0.08867874576817805,14.957018766080404,36.3275,off_track
