#{"t_start": 1781471107.453767, "env_id": "None"}
r,l,t,laps_completed,last_lap_time,progress_distance,distance_raced,mean_throttle,mean_brake,mean_speed,max_speed,termination_reason
-129.72662,500,2.583615,0,nan,34.8495,34.8495,0.24799962544441223,0.23643468058109282,12.264025457400004,18.4454,off_track
-106.31895,856,5.711397,0,nan,65.603,65.603,0.2739991359064512,0.23791075177560342,13.458096028971948,24.9664,off_track
-426.76886,4395,32.737613,0,nan,363.799,363.799,0.25661469156831607,0.2586016611027636,14.285644806848685,19.6664,off_track
-484.87115,3797,56.705749,0,nan,301.302,301.302,0.250845107870225,0.2625360365349712,13.903746036133757,24.0402,low_progress
-405.54446,3711,78.491066,0,nan,302.94,302.94,0.23425535438067827,0.23705165886037338,14.373629298571815,31.0933,off_track
-211.57458,1004,85.22874,0,nan,75.6365,75.6365,0.1570897995238285,0.498826627118654,13.090974654980064,43.5501,low_progress
-112.80727,150,86.688811,0,nan,2.47314,2.47314,0.14103772163391112,0.32134411931037904,2.9823437486666675,11.1476,low_progress
-130.29471,474,90.161538,0,nan,44.1192,44.1192,0.18665598012224027,0.37715379070129074,16.030914399219416,44.6035,off_track
-110.93895,150,91.620354,0,nan,4.30298,4.30298,0.24336164792378742,0.24479488333066304,5.213364801333333,20.2113,low_progress
-111.65618,150,93.079407,0,nan,3.58057,3.58057,0.20613001585006713,0.30716928442319236,4.317891273333333,14.2624,low_progress
-111.21835,150,94.529435,0,nan,4.03955,4.03955,0.24883502165476482,0.16781561215718588,4.902387702666668,19.6731,low_progress
-110.85611,150,95.988321,0,nan,4.35498,4.35498,0.27256702184677123,0.1253734298547109,5.286401327266668,21.8179,low_progress
-111.887344,150,97.622548,0,nan,3.44702,3.44702,0.20841899236043293,0.11342380444208781,4.193830647333335,20.0253,low_progress
-113.23012,150,99.064748,0,nan,2.20166,2.20166,0.14400855859120687,0.0624484380086263,2.681722832666667,12.1531,low_progress
-114.99637,150,100.52975,0,nan,0.260986,0.260986,0.03737689336140951,0.07976149241129557,0.3098404626666666,1.00027,low_progress
-114.73318,150,101.992172,0,nan,0.668457,0.668457,0.049223105112711586,0.10684448520342509,0.8011612089333332,1.92194,low_progress
-114.576355,150,103.455722,0,nan,0.77002,0.77002,0.06305519660313924,0.08988309025764465,0.9284435046666668,2.66917,low_progress
-114.69092,150,104.916318,0,nan,0.709229,0.709229,0.06689643224080404,0.1366551117102305,0.8565714213333334,2.13445,low_progress
-114.05087,150,106.399014,0,nan,1.50098,1.50098,0.05917309840520223,0.26794798294703165,1.8219235033333336,3.81271,low_progress
-114.28765,150,107.858907,0,nan,1.09277,1.09277,0.04163997252782186,0.27110981702804565,1.3174659399999995,3.04822,low_progress
-113.8723,150,109.314107,0,nan,1.59888,1.59888,0.06906881014506022,0.3142639720439911,1.929805745933333,3.93296,low_progress
-111.91282,150,110.780164,0,nan,3.39893,3.39893,0.1511376690864563,0.2809983193874359,4.104828955333335,7.90675,low_progress
-143.17508,305,113.149597,0,nan,11.8982,11.8982,0.17539617819864242,0.5450835882640276,6.911836113278691,26.0886,low_progress
-129.40948,729,118.213626,0,nan,60.1807,60.1807,0.2398235183030326,0.2603662434265283,14.47787835802469,57.1002,off_track
-108.86869,564,122.118791,0,nan,24.2429,24.2429,0.11795561174128918,0.38852012876077746,7.368687381560278,19.7454,low_progress
-153.99265,789,127.528697,0,nan,43.996,43.996,0.16755525271097818,0.3828852620868175,9.951034601013946,24.7429,off_track
-122.88547,569,131.725162,0,nan,51.9658,51.9658,0.2612020196311294,0.2728449144975163,16.019878859753938,34.5161,off_track
-170.72662,1084,138.816999,0,nan,75.7766,75.7766,0.12070935150793997,0.44086497972592215,12.022183546217715,25.4929,low_progress
-193.0906,1014,145.706022,0,nan,67.1933,67.1933,0.11865005008802847,0.5157747469710176,11.537902120512827,18.3342,off_track
-132.13007,569,149.73155,0,nan,31.7028,31.7028,0.15376794631535642,0.3518971869941336,9.423416546045706,17.2519,low_progress
-148.94983,824,155.143507,0,nan,54.3419,54.3419,0.1779989963306964,0.2863901941810997,11.62628970521846,36.7927,off_track
-117.05273,561,159.064592,0,nan,45.5863,45.5863,0.2412693872383784,0.1600084023254653,14.415659090909097,38.3463,off_track
-123.03182,586,163.087155,0,nan,51.6075,51.6075,0.2561837672780398,0.21011286577267044,15.453485680716724,35.0147,off_track
-122.770676,590,167.180613,0,nan,47.9434,47.9434,0.2162537077725944,0.24899765970343252,14.35939008610169,39.0461,off_track
-117.5304,545,170.854386,0,nan,46.3352,46.3352,0.26790797097967306,0.20840028611891862,15.038334418715593,37.761,off_track
-119.1092,551,174.867503,0,nan,48.6895,48.6895,0.2362882647453765,0.1443136867723967,15.494205318511783,35.4974,off_track
-121.6767,566,178.794327,0,nan,44.0736,44.0736,0.2819475704284102,0.23019386127643787,13.77008702809187,32.9428,off_track
-134.31964,362,181.605222,0,nan,26.8817,26.8817,0.21746265064945536,0.39659819945446034,13.940371325138113,40.0241,off_track
-137.37163,389,184.586478,0,nan,28.2028,28.2028,0.19275525112691452,0.45367895867340363,13.344545423907455,39.8666,off_track
