#{"t_start": 1781470798.8583827, "env_id": "None"}
r,l,t,laps_completed,last_lap_time,progress_distance,distance_raced,mean_throttle,mean_brake,mean_speed,max_speed,termination_reason
-170.92001,500,1.573892,0,nan,34.8495,34.8495,0.24799962544441223,0.23643468058109282,12.264025457400004,18.4454,off_track
-145.91599,863,4.642943,0,nan,66.2685,66.2685,0.2724797811320317,0.23702943200722493,13.464391310312855,25.6495,off_track
-236.69919,1731,16.05283,0,nan,140.71,140.71,0.2656838111557897,0.25790121877627314,13.881089628422847,20.7019,off_track
-369.71555,1500,25.847001,0,nan,118.824,118.824,0.2317882332801819,0.2668368527491887,13.69107504292002,19.2849,off_track
-181.625,1192,33.960578,0,nan,93.2121,93.2121,0.20976554507377163,0.2730254301388792,13.584694122986562,19.537,off_track
-215.11987,1439,43.384423,0,nan,114.015,114.015,0.21752954266649555,0.30552594275670053,13.415428292216845,19.36,off_track
-111.18839,150,44.894447,0,nan,4.87354,4.87354,0.2492155075073242,0.22496222813924155,5.850842551333334,15.81,low_progress
-111.678894,150,46.470944,0,nan,4.56543,4.56543,0.17800921122233074,0.25211628754933674,5.485271189333333,14.6295,low_progress
-268.76685,1564,56.62034,0,nan,129.693,129.693,0.2714836781134691,0.22746692327282314,14.041142045716088,19.8185,off_track
-179.2067,900,62.682716,0,nan,82.8503,82.8503,0.25335171871715123,0.2348631039592955,15.842123818111096,32.0923,off_track
-183.04132,876,68.566697,0,nan,75.5834,75.5834,0.23059515689061658,0.2763692160311355,14.945135040296805,31.5923,off_track
-151.53824,602,77.225829,0,nan,74.3719,74.3719,0.13932825877420926,0.2647681412506737,20.746527774269097,52.3364,off_track
-151.53824,602,78.231441,0,nan,74.3719,74.3719,0.13932825877420926,0.2647681412506737,20.746527774269097,52.3364,off_track
-151.53824,602,79.247542,0,nan,74.3719,74.3719,0.13932825877420926,0.2647681412506737,20.746527774269097,52.3364,off_track
